TL54 2,3/9,0
1.00000 0.00000
0.99651 0.00012
0.98624 0.00071
0.96968 0.00209
0.94732 0.00437
0.91966 0.00754
0.88724 0.01153
0.85060 0.01626
0.81030 0.02157
0.76690 0.02728
0.72095 0.03324
0.67303 0.03925
0.62371 0.04513
0.57354 0.05067
0.52306 0.05568
0.47277 0.05999
0.42318 0.06346
0.37473 0.06594
0.32788 0.06734
0.28302 0.06756
0.24053 0.06656
0.20073 0.06433
0.16392 0.06087
0.13035 0.05625
0.10022 0.05058
0.07374 0.04405
0.05110 0.03683
0.03245 0.02913
0.01794 0.02119
0.00768 0.01327
0.00169 0.00566
0.00020 0.00171
0.00000 0.00012
0.00015 -0.00131
0.00071 -0.00265
0.00167 -0.00395
0.00413 -0.00627
0.01345 -0.01126
0.02774 -0.01554
0.04699 -0.01895
0.07121 -0.02142
0.10030 -0.02304
0.13400 -0.02391
0.17202 -0.02411
0.21398 -0.02377
0.25942 -0.02300
0.30782 -0.02188
0.35861 -0.02054
0.41119 -0.01903
0.46494 -0.01743
0.51920 -0.01580
0.57331 -0.01419
0.62661 -0.01263
0.67846 -0.01115
0.72822 -0.00975
0.77531 -0.00845
0.81914 -0.00725
0.85917 -0.00616
0.89490 -0.00514
0.92592 -0.00417
0.95184 -0.00323
0.97234 -0.00228
0.98727 -0.00125
0.99667 -0.00035
1.00000 0.00000
